Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1279.142	-1497.154	218.0116	1.352411	1.564264
6	-1278.864	-1496.9	218.0357	1.328341	1.564264
12	-1284.655	-1502.184	217.5284	1.107406	2.067954
18	-1281.383	-1499.165	217.7825	1.157257	1.864051
24	-1280.668	-1498.091	217.4223	1.141405	2.115325
30	-1283.199	-1500.709	217.5106	1.05306	2.115325
36	-1291.714	-1509.418	217.7039	1.293521	1.824524
42	-1293.342	-1511.684	218.3417	1.499929	1.187775
48	-1293.209	-1511.507	218.2982	1.500662	1.224302
54	-1292.368	-1510.549	218.1815	1.325537	1.457325
60	-1285.093	-1503.282	218.189	1.328724	1.449211
66	-1297.977	-1516.503	218.5264	1.428199	1.086979
72	-1299.245	-1517.421	218.1756	1.286253	1.491505
78	-1300.904	-1519.045	218.1414	1.320469	1.491505
84	-1302.276	-1520.295	218.0196	1.505539	1.443529
90	-1293.478	-1511.554	218.0762	1.440732	1.449779
96	-1297.423	-1515.054	217.6306	1.240902	1.910477
102	-1303.001	-1520.973	217.972	1.240902	1.673579
108	-1313.716	-1530.401	216.6853	1.350531	2.453359
114	-1291.413	-1509.034	217.6204	1.200664	1.944566
120	-1299.109	-1516.264	217.1551	1.334319	2.163801
126	-1292.887	-1510.854	217.9668	1.400888	1.561523
132	-1297.24	-1515.432	218.1917	1.421803	1.375075
138	-1303.584	-1521.869	218.2843	1.421803	1.301153
144	-1311.38	-1529.535	218.1551	1.421803	1.403646
150	-1307.065	-1525.523	218.4581	1.638754	0.9468418
156	-1296.917	-1515.455	218.5375	1.644248	0.8509997
162	-1297.2	-1515.646	218.4458	1.637392	0.9611475
168	-1285.664	-1504.116	218.4515	1.637392	0.9552002
174	-1285.477	-1503.954	218.4765	1.616841	0.9505522
180	-1288.651	-1507.13	218.4791	1.564647	1.00142
186	-1299.036	-1517.504	218.4685	1.491024	1.08237
192	-1293.64	-1511.635	217.9955	1.166094	1.710015
198	-1289.746	-1507.448	217.7014	1.170842	1.910004
204	-1287.432	-1504.759	217.3268	1.106522	2.200157
210	-1292.221	-1510.019	217.7983	1.187075	1.832784
216	-1286.108	-1503.885	217.7768	1.009551	1.967861
222	-1290.329	-1507.711	217.3817	1.022166	2.219228
228	-1286.328	-1503.098	216.7704	1.066111	2.577771
234	-1285.531	-1502.382	216.8505	1.066742	2.527598
240	-1278.921	-1497.083	218.1624	1.428847	1.392466
246	-1283.568	-1502.044	218.4761	1.485655	1.080334
252	-1290.776	-1509.178	218.402	1.554532	1.08515
258	-1285.534	-1503.56	218.0265	1.465842	1.468487
264	-1287.341	-1505.745	218.404	1.465842	1.163264
270	-1281.047	-1499.402	218.3545	1.465842	1.206069
276	-1280.226	-1498.497	218.2704	1.421846	1.31238
282	-1297.232	-1515.73	218.4978	1.449395	1.093783
288	-1297.106	-1515.42	218.3133	1.396212	1.298375
294	-1305.084	-1523.218	218.1343	1.463336	1.387474
300	-1309.676	-1527.641	217.965	1.282492	1.648843
306	-1311.643	-1529.469	217.8261	1.374514	1.682339
312	-1303.526	-1520.629	217.1038	1.179501	2.296656
318	-1301.531	-1519.03	217.4991	1.179501	2.039682
324	-1297.207	-1515.001	217.7943	1.141697	1.866615
330	-1293.124	-1511.061	217.937	1.302651	1.654464
336	-1284.788	-1502.368	217.58	1.276523	1.920623
342	-1282.742	-1500.357	217.6155	1.164546	1.972093
348	-1291.948	-1509.905	217.9578	1.241672	1.683165
354	-1291.29	-1509.298	218.0075	1.42538	1.513282
360	-1304.206	-1522.172	217.9661	1.466785	1.513282
366	-1291.286	-1509.643	218.3564	1.290106	1.348951
372	-1294.558	-1512.426	217.8674	1.365851	1.659058
378	-1296.458	-1514.074	217.6161	1.263307	1.905141
384	-1294.982	-1512.631	217.6486	1.263307	1.883035
390	-1284.608	-1500.878	216.27	1.004547	2.921299
396	-1281.177	-1497.487	216.3095	0.8659922	2.980929
402	-1288.038	-1504.614	216.576	0.9023137	2.797843
408	-1288.632	-1505.312	216.6802	0.8517536	2.765098
414	-1295.095	-1511.77	216.6744	1.017078	2.66738
420	-1296.501	-1512.73	216.2293	0.9613782	2.971778
426	-1295.305	-1512.429	217.1242	0.8559535	2.488249
432	-1298.03	-1514.591	216.5609	0.808558	2.863925
438	-1297.206	-1512.931	215.7247	0.8582272	3.333042
444	-1296.741	-1512.773	216.0318	0.8658471	3.146929
450	-1302.244	-1518.976	216.7314	0.8550266	2.73186
456	-1296.089	-1513.695	217.6056	0.9945841	2.091362
462	-1298.457	-1515.969	217.5118	1.218814	2.00507
468	-1302.754	-1519.765	217.0106	1.063748	2.42917
474	-1298.198	-1514.853	216.6554	0.8617757	2.774164
480	-1296.599	-1513.284	216.6855	0.8316086	2.774164
486	-1294.323	-1511.652	217.3299	0.9399599	2.305203
492	-1294.972	-1512.468	217.4962	0.9435395	2.195982
498	-1300.746	-1517.326	216.5805	1.067328	2.694184
504	-1303.807	-1522.358	218.5514	1.775774	0.6196676
510	-1297.676	-1516.05	218.3733	1.968287	0.5755581
516	-1296.712	-1515.084	218.3716	1.968287	0.5818262
522	-1290.606	-1509.019	218.4137	1.934628	0.4586215
528	-1295.409	-1513.847	218.4378	1.776432	0.8101682
534	-1290.319	-1508.752	218.4328	1.80462	0.7788856
540	-1292.465	-1510.946	218.4814	1.747992	0.7900332
546	-1292.006	-1510.355	218.3493	1.622605	1.070854
552	-1296.693	-1515.178	218.4849	1.460975	1.095032
558	-1298.725	-1516.895	218.1695	1.486052	1.341797
564	-1292.227	-1510.351	218.1241	1.531461	1.341797
