Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-1405.535	-1619.462	213.927	0.837425	4.378755
6	-1399.518	-1615.947	216.4289	1.094468	2.77034
12	-1385.043	-1600.415	215.3723	0.8894218	3.521108
18	-1399.039	-1615.433	216.3942	1.112414	2.780574
24	-1386.729	-1603.038	216.3094	1.197195	2.780574
30	-1405.679	-1623.374	217.6946	1.370102	1.777955
36	-1405.423	-1623.002	217.5792	1.565152	1.722184
42	-1415.153	-1632.647	217.4947	1.345083	1.931944
48	-1424.78	-1642.138	217.3582	1.37433	2.003817
54	-1434.589	-1651.787	217.1973	1.259457	2.184963
60	-1444.196	-1661.235	217.0399	1.128336	2.36983
66	-1422.583	-1638.84	216.2564	1.204788	2.808252
72	-1443.64	-1660.974	217.3344	1.429083	1.983134
78	-1449.116	-1666.952	217.8365	1.327234	1.708496
84	-1437.334	-1655.16	217.8259	1.446312	1.631071
90	-1414.509	-1631.39	216.8812	1.20027	2.424662
96	-1416.513	-1633.94	217.4265	1.189598	2.080918
102	-1400.55	-1617.936	217.3862	1.001873	2.22942
108	-1403.051	-1621.071	218.0198	1.246599	1.635262
114	-1390.97	-1609.026	218.0567	1.515807	1.407063
120	-1375.309	-1593.508	218.1992	1.626294	1.201659
126	-1392.209	-1610.873	218.6641	1.637031	0.6769013
132	-1400.355	-1618.849	218.4946	1.637031	0.9090552
138	-1389.262	-1607.059	217.7969	1.532294	1.589783
144	-1379.872	-1598.22	218.3478	1.61651	1.077902
150	-1373.848	-1592.057	218.2085	1.61651	1.202112
156	-1393.915	-1612.038	218.1235	1.357925	1.476761
162	-1391.389	-1609.084	217.6944	1.092196	1.967678
168	-1391.501	-1608.684	217.1829	0.9428025	2.396773
174	-1405.802	-1622.663	216.8615	1.022365	2.548329
180	-1393.042	-1610.052	217.0098	1.085175	2.416134
186	-1402.038	-1620.051	218.0135	1.007702	1.808075
192	-1383.743	-1600.148	216.4048	1.185416	2.729521
198	-1373.005	-1591.143	218.1378	1.14112	1.626249
204	-1367.847	-1584.29	216.4429	1.014167	2.810736
210	-1402.55	-1619.433	216.8825	0.8618699	2.634803
216	-1359.582	-1575.237	215.6553	1.02411	3.276178
222	-1361.997	-1578.232	216.2355	0.9834886	2.954757
228	-1362.852	-1580.727	217.8751	1.329953	1.679183
234	-1362.769	-1580.71	217.9413	1.461661	1.535546
240	-1363.892	-1581.848	217.9563	1.446611	1.535546
246	-1371.858	-1590.062	218.2043	1.395925	1.385449
252	-1389.55	-1607.31	217.76	1.224877	1.833127
258	-1402.063	-1619.056	216.9921	0.9713322	2.498739
